,new_tech_spin,baseline_spin
0,2123.3,2142.47
1,1700.1,1690.36
2,1925.3,1919.78
3,1779.1,1589.52
4,2506.9,2710.38
5,1797.4,1611.02
6,2083.2,2084.17
7,2127.8,2167.22
8,2196.4,2171.85
9,2160.3,2205.03
10,2041,2018.82
11,2226,2186.51
12,2152,2184.74
13,2225.3,2243.92
14,2388.5,2399.06
15,2332.7,2330.88
16,2151.8,2170.18
17,2387.2,2409.97
18,2360,2385.65
19,2233.4,2222.07
20,2271.5,2278.75
21,2433.2,2446.29
22,2329,2329.35
23,2404,2379.72
24,2469.3,2472.88
25,1901.1,1892.75
26,2236.1,2193.69
27,2206.2,2194.42
28,2257.9,2230
29,2224.1,2216.07
30,2316,2397.13
31,1651.2,1658.75
32,1864.2,1859.39
33,2120.9,2151.54
34,2139.4,2115.16
35,2259.6,2259.43
36,2362.7,2307.14
37,1920.3,1943.5
38,2459.2,2455.27
39,1989.7,1953.9
40,2321.8,2337.69
41,2266.5,2226.91
42,2371.9,2391.24
43,2217.7,2211.22
44,2437.1,2443.68
45,2319,2323.2
46,2266.5,2265.61
47,1784.6,1768.66
48,2297,2223.95
49,2584.3,2576.34
50,2282.3,2257.09
51,2648.5,2642.97
52,2287.4,2214.12
53,2406.6,2431.75
54,1768.8,1679.95
55,2209.2,2242.89
56,2295.8,2271.37
57,2168.5,2157.6
58,2321.3,2364.4
59,2440,2444.76
60,2420.5,2349.7
61,2182.9,2204.66
62,1816.9,1806.05
63,1940.8,2031.63
64,2390.1,2397.97
65,2366.8,2372.87
66,2150.9,2099.88
67,2259.8,2289.42
68,2303.7,2324.81
69,2219.9,2266.1
70,2210.1,2223.11
71,1674,1664.3
72,2155,2207.55
73,2580.1,2569.04
74,2242,2212.68
75,1957,1958.72
76,2363.7,2374.5
77,2319.3,2317.49
78,2469.5,2396.22
79,2037.8,2063.1
80,2368.4,2401.43
81,2167,2181.94
82,2283.8,2302.21
83,2238.4,2279.18
84,2268.4,2239.82
85,2573.6,2505.96
86,2281.7,2282.44
87,2194.9,2189.76
88,2267.3,2287.75
89,2686.6,2224.6
90,1626.4,1588.09
91,2097.1,2124
92,2451.4,2469.48
93,2222.3,2177.93
94,2356.4,2367.75
95,1903.8,1881.86
96,2271.4,2266.75
97,2478.4,2277.09
98,2211,2214.54
99,2356.7,2354.1
100,2082.3,2077.45
101,2383.6,2365.12
102,2165.2,2188.5
103,2489,2443.46
104,2342.8,2317.81
105,2184.8,2300.81
106,2398.8,2419.1
107,2334.1,2388.11
108,2351.1,2348.44
109,2494.5,2497.47
110,2231,2229.2
111,2239.5,2264.67
112,2560.5,2571.46
113,2197.5,2104.78
114,2214.8,2209.94
115,2168.4,2214.28
116,2441.6,2505.34
117,2185,2207.54
118,2168.2,2790.12
119,2253.5,2275.59
120,2333.3,2366.95
121,1863.6,1879.06
122,2493.1,2550.76
123,2250.8,2247.58
124,1412.3,1401.34
125,2212.3,2221.87
126,1806.7,2376.73
127,1953.1,1952.13
128,2297.2,2496.61
129,2279.7,2330.56
130,2226.7,2178.47
131,2607.5,2591.18
132,2254.8,2222.49
133,2274.3,2269.75
134,2292.7,2294.91
135,2269.6,2263.02
136,2240.7,2276.15
137,2309.9,2306.75
138,2134.6,2192.74
139,2423.1,2419.92
140,2157.1,2271.29
141,2240.3,2241.91
142,2122,2116.4
143,2407.6,2399.22
144,1973.6,2137.29
145,2249.7,2255.86
146,2386.3,2255.45
147,2184.6,2251.7
148,2301.2,2278.97
149,2426.3,2437.02
150,2322.4,2334.76
151,2648.5,2732.69
152,2538.1,2615.17
153,2224,2221.99
154,2330.9,2318.01
155,1990.6,2222.08
156,2159.4,2179.35
157,2276,2158.55
158,2404.9,2373.02
159,2176.6,2268.82
160,2334.8,2386.99
161,2226.7,2198.3
162,2398.5,2455.99
163,1894,1872.88
164,2054.7,2013.84
165,2436,2464.29
166,2326,2374.07
167,1519.2,1576.93
168,2392.2,2240.15
169,2213.5,2191.03
170,2283.6,2342.79
171,2416.1,2394.96
172,1959.5,1950.44
173,2306.1,2270.21
174,2220.2,2273.96
175,2524.2,2512.23
176,1665.8,2317
177,1978.8,1998.94
178,2318.2,2304.56
179,2266.5,2261.56
180,2367,2371.04
181,2125.2,2141.1
182,1820.4,1799.03
183,1691.3,1680.45
184,2306,2322.32
185,2287.8,2329.56
186,1612.6,1644.95
187,2108.6,2073.46
188,2232.1,2206.57
189,2048.9,2538.35
190,2327.3,2334.81
191,1611.6,1605.43
192,2477.7,2458.19
193,2402.4,2365.69
194,2691.6,2761.97
195,2496.3,2511.39
196,2500.5,2457.99
197,2554.5,2547.11
198,2177.5,2171.76
199,2220.7,2215.46
200,2747.1,2827.86
201,2330.3,2342.59
202,2267.1,2252.81
203,2064.9,2066.06
204,2395.2,2323.23
205,1722.4,1679.95
206,1732,1768.32
207,2134.6,2138.56
208,2277.2,2038.81
209,1958.8,2108.55
210,2222.6,2247.04
211,2110.3,2126.88
212,2318.3,2324.85
213,2160.7,2211.04
214,2490.9,2470.65
215,2290.6,2458.18
216,2496,2517.24
217,2362.2,2367.42
218,2173.7,2162.61
219,2374,2374.22
220,1718.1,1773.73
221,2196,2211.96
222,1924,2375.94
223,2308.5,2309.09
224,2359.8,2374.39
225,2086,2075.99
226,2060.9,2017.04
227,2205.7,2160.66
228,1282.6,1297.73
229,2166.3,2063.28
230,2044.1,2002.7
231,2210.1,2227.36
232,1983.1,1913.53
233,2339.4,2351.04
234,2089.7,2109.97
235,2187.9,2139.08
236,1833.6,1805.49
237,2268.2,2234.34
238,2265.9,2321.09
239,2372.6,2363.78
240,2295.4,2304.76
241,2586.6,2666.49
242,2534.6,2597.98
243,1785.3,1789.25
244,2130.1,2147.41
245,2400,2415.64
246,2303.3,2287.83
247,2622.4,2614.04
248,2499.9,2485.95
249,2218.5,2188.69
250,2571.5,2528.4
251,2189.4,2135.52
252,2263.9,2294.38
253,1365.1,1359.81
254,1524.9,1515.24
255,2556.8,2224.03
256,1956.6,1923.01
257,2178.5,2135.6
258,2461.8,2536.06
259,2036.8,2301.83
260,2568.8,2581.33
261,2178.6,2160.07
262,2228.9,2225.04
263,2282.6,2267.57
264,2320.2,2309.38
265,2273.9,2261.15
266,2274,2240.34
267,2110.1,2592.83
268,2057.5,2087.54
269,2083.2,2058.57
270,2153.6,2151.93
271,2223.3,2250.39
272,2436.8,2416.75
273,1950.9,1969.06
274,1737.9,1824.23
275,1940.2,1930.36
276,2437.1,2385.15
277,2211.8,2216.46
278,2459.2,2440.95
279,2527,2490.08
280,2236.5,2226.86
281,2138,2136.86
282,2194.2,2170.28
283,2365,2353.91
284,2307.4,2292.64
285,2285.4,2269.27
286,2391.3,2340.04
287,2306.2,2207.71
288,2341.4,2410.3
289,2255,2257.67
290,1913,1875.5
291,2333.7,2301.99
292,2196.4,2182.41
293,2410.8,2336.46
294,2347.9,2322.13
295,2070.3,2274.13
296,2294.5,2403.49
297,2379.6,2314.32
298,2144.5,2210.71
299,1329.8,1347.29
300,2662.7,2374.36
301,2413.1,2396.82
302,2533.3,2493.2
303,1988.8,1982.16
304,1607.3,1558.67
305,2439,2412.39
306,2616.4,2685.71
307,2513.7,2592.9
308,2532.5,2504.14
309,2324.5,2308.87
310,2211.1,2146.09
311,2181.4,2262.74
312,2390.9,2421.51
313,2389.2,2328.52
314,2524.6,2506.88
315,2577.8,2476
316,802.2,2430.13
317,2205.8,2183.78
318,2623.7,2656.45
319,2307.5,2389.14
320,1934.3,1919.38
321,2168.5,2112.56
322,2009.9,2062.85
323,2250.1,2217.91
324,2320.8,2335.8
325,2340.8,2306.74
326,2133.3,2115.32
327,2310.4,2317.66
328,1108.5,2264.97
329,2258.8,2236.21
330,1756.8,1718.28
331,2116.4,2111.39
332,2058.1,2209.03
333,2553.8,2562.43
334,2258.2,2234.09
335,2131.5,2112.23
336,1229.3,1192.21
337,1771.2,1755.82
338,2201.6,2213.89
339,2329.4,2299.1
340,2282,2276.14
341,2355.9,2245.94
342,2237.2,2222.88
343,2248.5,2261.16
344,2332.4,2294.61
345,2310.3,2334.37
346,2305.1,2317.73
347,2275.1,2219.64
348,2486.4,2532.3
349,2244,2243.4
350,1975,1955.42
351,1897,1907.39
352,1878.9,1909.05
353,2005.2,2007.98
354,2222.3,2218.25
355,2392.2,2439.28
356,2165.7,2157.93
357,2371.3,2370.96
358,2325.4,2337.71
359,2281.4,2262.07
360,1861.6,1901.82
361,1717.4,1683.9
362,2292.3,2273.66
363,2194.2,2230.76
364,2256.3,2319.78
365,2161.6,2168.61
366,2222.3,2246.79
367,2533.9,2485.08
368,2409.8,2360.25
369,2329.8,2348.55
370,1993.6,2006.74
371,2269.3,2263.09
372,2259.6,2293.24
373,2329.8,2349.52
374,2268.2,2271.92
375,2170.2,2164.33
376,2374.1,2399.86
377,2224.9,2331.29
378,1639.7,1671.51
379,2227,2240.06
380,2311.3,2232.02
381,2306.9,2309.08
382,2529.4,2570.89
383,1720.4,1729.5
384,2390,2467.34
385,2136,2148.23
386,2283,2396.51
387,2423.1,2460.46
388,2320,2297.3
389,2384,2364.04
390,2435.4,2405.56
391,2105.7,2310.91
392,1718.9,2178.4
393,1707.6,1752.63
394,1973.3,1994.11
395,2456.4,2369.51
396,2238.9,2212.68
397,2210.7,2248.69
398,2202.2,2199.28
399,2224,2211.27
400,2558.4,2498.82
401,2232.8,2162.07
402,2125.8,1564.43
403,2383.3,2373.4
404,2351.9,2392.22
405,2393.3,2414.28
406,2161.4,2175.15
407,2158.1,2144.51
408,2377.7,2374.93
409,2303.4,2337.86
410,2266.9,2275.77
411,2175.9,2123.54
412,2271.1,2295.18
413,2383.6,2379.08
414,2685.4,2877.75
415,2583.9,2646.54
416,2217.9,2250.78
417,590.4,2262.53
418,2124.8,2111.77
419,1732.6,1661.28
420,2126.4,2184.84
421,2363.1,2304.44
422,2620.4,2627.07
423,2387.1,2419.46
424,2202.2,2187.03
425,2290.3,2378.15
426,2252.8,2234.93
427,2517.3,2489.48
428,2429.9,2434.82
429,2441,2418.24
430,2306.2,2299.73
431,1879.7,1884.48
432,1932.3,1901.48
433,1841.4,1867.53
434,2593.8,2609.7
435,2055.5,2037.39
436,2239.1,2222.55
437,2195.4,2132.94
438,2136.4,2128.05
439,2320.6,2289.12
440,1686.8,1681.46
441,2461.9,2524.89
442,1850.9,1847.72
443,2361.3,2331.53
444,1998.6,1996.92
445,2323.3,2269.81
446,2111.9,2328.6
447,2515.3,2533.33
448,2022.5,1985.48
449,1504.7,1510.73
450,2323.1,2352.02
451,2183.7,2200.9
452,2427.9,2437.9
453,1813.4,1810.39
454,2236.6,2319.36
455,2340.4,2337.71
456,2373.3,2378.03
457,1840.3,1838.42
458,1593.1,1598.6
459,2487.2,2534.98
460,2342.2,2311.35
461,2434.1,2452.77
462,2429.7,2393.94
463,1951.8,1945.41
464,2249.9,2238.67
465,2368.8,2404.17
466,2026.5,2029.09
467,2353.1,2353.95
468,2354.8,2348.38
469,2168.3,2142.48
470,2049.6,2171.83
471,1349.4,1513.03
472,2102.7,2077.41
473,1912.8,1951.9
474,2329.4,2309.31
475,2240.2,2247.7
476,1774.7,1753.62
477,2203,2197.63
478,2164.1,2247.36
479,2246.6,2207.89
480,2598.3,2626.49
481,2112.5,2108.46
482,2402.5,2466.01
483,1239.4,2378.64
484,1879.4,1861.05
485,2115.8,2122.12
486,2247.3,2210.84
487,2238.3,2244.45
488,2274.4,2277.44
489,2595.4,2628.03
490,2425.9,2440.24
491,2335.2,2348.55
492,2328.7,2305.54
493,2385.6,2436.31
494,2370,2364.36
495,2294.2,2289.25
496,2123.8,2176.94
497,2397.9,2459.77
498,2316,2375.1
499,2347,2322.16
500,2338.6,2307.56
501,2220.5,2212.53
502,2408.2,2402.6
503,2280.7,2329.01
504,1964.7,1925.93
505,2367.6,2344.33
506,2241.2,2228.66
507,1818,1832.83
508,2384.1,2447.85
509,2295.6,2260.25
510,1746.5,2159.46
511,2323.3,2239.98
512,2332.5,2357.35
513,2192.8,2207.55
514,2468.4,2435.11
515,2185,2210.12
516,2488.8,2533.17
517,2289,2298.79
518,2385.8,2283.29
519,2482,2106.97
520,2420.8,2377.82
521,2506.9,2500.92
522,2281.1,2252.3
523,2565.6,2602.95
524,2281.6,2294.92
525,2446.5,2455.94
526,2142.3,2152.51
527,2041,2059.24
528,2394.7,1711.81
529,2268.2,2226.92
530,1775.7,1807.78
531,2256.9,2265.09
532,2355.4,2388.44
533,2286.8,2219.35
534,2317.8,2259.83
535,2306.2,2245.77
536,2453.2,2473.39
537,1889.5,1868.18
538,2293.2,2290.36
539,1684,1676.77
540,2360.5,2765.6
541,2449,2432.04
542,2295,2326.7
543,1910,2215.43
544,2337.9,2369.37
545,2316,2295.94
546,2098.3,2107.85
547,2226.5,2223.93
548,2223.8,2295.85
549,2311.2,2303.46
550,2120.4,2149.59
551,1895.3,1905.92
552,2299.5,2259.96
553,2188,2151.09
554,2366.5,2345.02
555,2435.6,2421.35
556,2089.8,2386.79
557,2236.4,2219.84
558,1864.3,1870.89
559,2311.8,2311.47
560,2206.7,2192.13
561,2253.4,2229.54
562,1945,1984.27
563,1648.3,1731.28
564,1823.2,1808.97
565,2396.9,2638.3
566,2171.5,2125.15
567,2293.3,2271.49
568,2288.2,2266.67
569,2484,2482.6
570,2541.9,2691.95
571,2249.4,2267.29
572,1946.7,1948.63
573,2220.6,2213.54
574,2435.9,2423.36
575,2137.9,2118.43
576,2019.9,2028.6
577,2271.4,2296.34
578,1793.7,1812.01
579,2266.8,2254.97
580,1817.6,2320.51
581,2055.4,2045.63
582,1600.3,1589.42
583,2671.5,2210.58
584,1704.8,1727.88
585,2642.6,2563.27
586,2132.3,2180.16
587,2323.5,2331.75
588,2128.5,2093.48
589,2316.2,2313.74
590,2145.4,2237.75
591,1496.7,1431.69
592,2423.1,2114.35
593,2426.3,2463.76
594,2433.8,2504.88
595,2032.1,2014.85
596,2462.8,2395.52
597,2227.9,2201
598,2287,2240.06
599,2709.7,2730.68
600,2244.4,2265.18
601,1765.4,1695.11
602,1856.4,1861.87
